glove	respect
wolf	survival, beauty, solitude, mystery, self-confidence and pride
unfortunate	a turn of good luck will come your way
crossbow	you need to have more precision in the goals you are reaching that for
vision	you are about to make an error in judgment
paw	a repression of your animalistic desires
infidelity	issues of abandonment and neglect in a relationship
saint	a special message is being given to you from the spiritual realm
tail	an aspect of the past that still lingers with you
indecision	your waking state of indecision
regret	you are preoccupied with waking disappointments and dissatisfaction
sandbox	you are taking a situation too seriously
heat	a feeling of shame or embarrassment
morning_glory	a bright, fresh start to your day
potato	your earthiness and simplicity
journal	there is a secret you are keeping
hoe	you are breaking though the barriers and limits
hyena	greed or uncleanness
wind_chime	harmony and tranquility
mermaid	the female aspect of yourself that is mysterious, vulnerable and secretive
valet	you are letting other people dictate your direction in life
airplane	disturbing feelings and past emotions in your subconscious mind
baseball_bat	your motivating and driving forces
speech	your inner feelings are being made known to those around you
calf	immaturity and inexperience
receipt	you are accepting or acknowledging some aspect of yourself
patent	your successes and your many accomplishments
food	physical and emotional nourishment and energies
bus_station	you are feeling helpless and trapped by some situation
beer	happiness, relaxation, and/ or inspiration
negligee	your suggestiveness
sphere	your spirituality
bride	a union or partnership
seatbelt	you are worried about what is ahead in your future
orange_juice	energy and vitality
liposuction	your preoccupation with your physical shape and appearance
melancholy	your inability to connect with others
juggling	you are trying to do too much at one time
cabana	your need for an escape or vacation
compass	a way of your subconscious to show you the way
clap	there is something you need to pay close attention to
airplane	you will overcome your obstacles and rise to a new level of prominence and status
kaleidoscope	the different fragments and facets that make up character
mouse	there is something nagging at your conscience
conman	you are being taken advantage of in some way
boiler_room	your ability to keep your temper and aggression contained
ague	others are offended by your indifference or lack of compassion in some situation
arcade	you need to look back to a previous event or experience that brought you much joy and amusement
road_sign	some advice and message your subconscious is trying that to convey
credit_card	something or someone is robbing you of vital energy
microscope	you need to take a closer look at some situation
witch	evil and destruction
